Structure key,Type,Unused,Strength,Unused,Base Width,Base Breadth,Unused,Build points,Height,Armour,Body points,Unused,Build power,Unused,Resistance,Unused,Unused,ECM key,Sensor key,Weapon Slots,Structure model,Base model,Functions,Weapons
A0ResourceExtractor,RESOURCE EXTRACTOR,Level All,MEDIUM,0,1,1,Concrete,45000,1,350,2500,10,100,2,150,255,1,ZNULLECM,DefaultSensor1Mk1,0,BLDERIK.PIE,0,1,0
FKVTOLFactory,VTOL FACTORY,Level All,MEDIUM,1,3,3,Concrete,120000,3,350,7500,100,400,30,150,255,20,ZNULLECM,DefaultSensor1Mk1,1,blvfact2.pie,blbfact.pie,1,0
FKRearmPad,REARM PAD,Level All,MEDIUM,0,1,1,Concrete,45000,1,350,2500,0,100,0,150,255,0,ZNULLECM,DefaultSensor1Mk1,0,blvtolpd.pie,blbgen.pie,1,0
FKTowerSurveillance,DEFENSE,Level All,HARD,0,1,1,Concrete,30000,3,450,7500,0,75,1,0,255,0,ZNULLECM,FKSurveillanceSensor,0,BLGUARDR.pie,0,0,0
FKTowerArtillery,DEFENSE,Level All,HARD,0,1,1,Concrete,30000,3,450,7500,0,100,1,0,255,0,ZNULLECM,FKArtillerySensor,0,BLGUARDR.pie,0,0,0
FKTowerCB,DEFENSE,Level All,HARD,0,1,1,Concrete,30000,3,450,7500,0,100,1,0,255,0,ZNULLECM,FKCBSensor,0,BLGUARDR.pie,0,0,0
FKTowerVTOL,DEFENSE,Level All,HARD,0,1,1,Concrete,30000,3,450,7500,0,100,1,0,255,0,ZNULLECM,FKVTOLSensor,0,BLGUARDR.pie,0,0,0
FKHardpointMG,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,2,400,10000,0,300,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
FKHardpointCannon,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,2,400,10000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
FKBunkerMG,DEFENSE,Level All,BUNKER,0,1,1,Concrete,60000,1,500,10000,0,300,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,blpilbox.pie,0,0,1
FKBunkerCannon,DEFENSE,Level All,BUNKER,0,1,1,Concrete,60000,1,500,10000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,Blcanpil.pie,0,0,1
FKAASiteHurricane,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,1,400,10000,0,300,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,Blaamnt2.pie,0,0,1
FKAASiteCyclone,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,1,400,10000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,Blaamnt2.pie,0,0,1
FKAASiteAvengerSAM,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,1,400,10000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,Blaamnt2.pie,0,0,1
FKAASiteStormbringer,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,1,400,10000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,Blaamnt2.pie,0,0,1
FKPitHowitzer,DEFENSE,Level All,HARD,0,1,1,Concrete,90000,1,400,7000,0,500,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLMRTPIT.PIE,0,0,1
FKPitRockets,DEFENSE,Level All,HARD,0,1,1,Concrete,90000,1,400,7000,0,500,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLMRTPIT.PIE,0,0,1
FKPitHowitzerIncendiary,DEFENSE,Level All,HARD,0,1,1,Concrete,90000,1,400,7000,0,500,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLMRTPIT.PIE,0,0,1
FKPitGrenadeLauncher,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,1,400,7000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLMRTPIT.PIE,0,0,1
FKHardpointMG2,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,2,400,10000,0,300,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
FKHardpointCannon2,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,2,400,10000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
FKBunkerMG2,DEFENSE,Level All,BUNKER,0,1,1,Concrete,60000,1,500,10000,0,300,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,blpilbox.pie,0,0,1
FKBunkerCannon2,DEFENSE,Level All,BUNKER,0,1,1,Concrete,60000,1,500,10000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,Blcanpil.pie,0,0,1
FKAASiteHurricane2,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,1,400,10000,0,300,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,Blaamnt2.pie,0,0,1
FKAASiteCyclone2,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,1,400,10000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,Blaamnt2.pie,0,0,1
FKAASiteAvengerSAM2,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,1,400,10000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,Blaamnt2.pie,0,0,1
FKAASiteStormbringer2,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,1,400,10000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,Blaamnt2.pie,0,0,1
FKPitHowitzer2,DEFENSE,Level All,HARD,0,1,1,Concrete,90000,1,400,7000,0,500,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLMRTPIT.PIE,0,0,1
FKPitRockets2,DEFENSE,Level All,HARD,0,1,1,Concrete,90000,1,400,7000,0,500,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLMRTPIT.PIE,0,0,1
FKPitHowitzerIncendiary2,DEFENSE,Level All,HARD,0,1,1,Concrete,90000,1,400,7000,0,500,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLMRTPIT.PIE,0,0,1
FKPitGrenadeLauncher2,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,1,400,7000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLMRTPIT.PIE,0,0,1
FKHardpointMG3,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,2,400,10000,0,300,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
FKHardpointCannon3,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,2,400,10000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLGUARD1.pie,0,0,1
FKBunkerMG3,DEFENSE,Level All,BUNKER,0,1,1,Concrete,60000,1,500,10000,0,300,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,blpilbox.pie,0,0,1
FKBunkerCannon3,DEFENSE,Level All,BUNKER,0,1,1,Concrete,60000,1,500,10000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,Blcanpil.pie,0,0,1
FKAASiteHurricane3,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,1,400,10000,0,300,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,Blaamnt2.pie,0,0,1
FKAASiteCyclone3,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,1,400,10000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,Blaamnt2.pie,0,0,1
FKPitHowitzer3,DEFENSE,Level All,HARD,0,1,1,Concrete,90000,1,400,7000,0,500,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLMRTPIT.PIE,0,0,1
FKPitRockets3,DEFENSE,Level All,HARD,0,1,1,Concrete,90000,1,400,7000,0,500,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLMRTPIT.PIE,0,0,1
FKPitHowitzerIncendiary3,DEFENSE,Level All,HARD,0,1,1,Concrete,90000,1,400,7000,0,500,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLMRTPIT.PIE,0,0,1
FKPitGrenadeLauncher3,DEFENSE,Level All,HARD,0,1,1,Concrete,60000,1,400,7000,0,350,1,0,255,0,ZNULLECM,DefaultSensor1Mk1,1,BLMRTPIT.PIE,0,0,1
